Code;Destination
324658;BELGIUM GSM LYCAMOBILE
324659;BELGIUM GSM LYCAMOBILE
324660;BELGIUM GSM LYCAMOBILE
324661;BELGIUM GSM LYCAMOBILE
324662;BELGIUM GSM LYCAMOBILE
324663;BELGIUM GSM LYCAMOBILE
324664;BELGIUM GSM LYCAMOBILE
324676;BELGIUM GSM LYCAMOBILE
324677;BELGIUM GSM LYCAMOBILE
324678;BELGIUM GSM LYCAMOBILE
3249;BELGIUM GSM MOBISTAR
32770005;BELGIUM GSM MOBISTAR
32460;BELGIUM GSM PROXIMUS
3247;BELGIUM GSM PROXIMUS
32770001;BELGIUM GSM PROXIMUS
324681;BELGIUM GSM TELENET
324682;BELGIUM GSM TELENET
324683;BELGIUM GSM TELENET
324684;BELGIUM GSM TELENET
32702;BELGIUM PRS
32703;BELGIUM PRS
32704;BELGIUM PRS
32706;BELGIUM PRS
32707;BELGIUM PRS
32800;BELGIUM PRS
501;BELIZE
5016;BELIZE GSM
229;BENIN
2296;BENIN GSM
2299;BENIN GSM
22992;BENIN GSM BBCOM
22993;BENIN GSM BBCOM
22968;BENIN GSM GLOBACOM
22998;BENIN GSM GLOBACOM
22999;BENIN GSM GLOBACOM
22961;BENIN GSM MTN
22962;BENIN GSM MTN
22966;BENIN GSM MTN
22967;BENIN GSM MTN
22996;BENIN GSM MTN
22997;BENIN GSM MTN
22963;BENIN GSM TELECEL
22964;BENIN GSM TELECEL
22965;BENIN GSM TELECEL
22994;BENIN GSM TELECEL
22995;BENIN GSM TELECEL
1441;BERMUDA
14413;BERMUDA GSM
144150;BERMUDA GSM
144151;BERMUDA GSM
144152;BERMUDA GSM
144153;BERMUDA GSM
144155;BERMUDA GSM
144159;BERMUDA GSM
14417;BERMUDA GSM
975;BHUTAN
591;BOLIVIA
59122;BOLIVIA CITIES
59133;BOLIVIA CITIES
59139;BOLIVIA CITIES
59144;BOLIVIA CITIES
5916;BOLIVIA GSM
5917;BOLIVIA GSM
59167;BOLIVIA GSM ENTEL
59168;BOLIVIA GSM ENTEL
59171;BOLIVIA GSM ENTEL
59172;BOLIVIA GSM ENTEL
59173;BOLIVIA GSM ENTEL
59174;BOLIVIA GSM ENTEL
591220;BOLIVIA RURAL
5912213;BOLIVIA RURAL
59122566;BOLIVIA RURAL
59122567;BOLIVIA RURAL
59122568;BOLIVIA RURAL
59122569;BOLIVIA RURAL
59122570;BOLIVIA RURAL
59122598;BOLIVIA RURAL
59122599;BOLIVIA RURAL
5912275;BOLIVIA RURAL
5912287;BOLIVIA RURAL
5912289;BOLIVIA RURAL
59122971;BOLIVIA RURAL
5912529;BOLIVIA RURAL
59125320;BOLIVIA RURAL
59125321;BOLIVIA RURAL
59126320;BOLIVIA RURAL
59126321;BOLIVIA RURAL
59128720;BOLIVIA RURAL
59128721;BOLIVIA RURAL
5913313;BOLIVIA RURAL
5913323;BOLIVIA RURAL
59133736;BOLIVIA RURAL
59133737;BOLIVIA RURAL
5913382;BOLIVIA RURAL
5913388;BOLIVIA RURAL
59134720;BOLIVIA RURAL
59134721;BOLIVIA RURAL
59136477;BOLIVIA RURAL
59138320;BOLIVIA RURAL
59138321;BOLIVIA RURAL
59139236;BOLIVIA RURAL
59139237;BOLIVIA RURAL
59139243;BOLIVIA RURAL
59139249;BOLIVIA RURAL
5913925;BOLIVIA RURAL
5913927;BOLIVIA RURAL
59139317;BOLIVIA RURAL
59139318;BOLIVIA RURAL
59139319;BOLIVIA RURAL
59139322;BOLIVIA RURAL
5913934;BOLIVIA RURAL
5913935;BOLIVIA RURAL
59139375;BOLIVIA RURAL
59139376;BOLIVIA RURAL
59139422;BOLIVIA RURAL
5913944;BOLIVIA RURAL
5913946;BOLIVIA RURAL
59139480;BOLIVIA RURAL
59139482;BOLIVIA RURAL
5913950;BOLIVIA RURAL
5913952;BOLIVIA RURAL
59139532;BOLIVIA RURAL
59139542;BOLIVIA RURAL
59139624;BOLIVIA RURAL
